OBJECTID,TRACT,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,SQ_MILES,Shape_Leng,Shape_Area,FAGI_TOTAL,FAGI_MEDIA,FAGI_TOT_1,FAGI_MED_1,FAGI_TOT_2,FAGI_MED_2,FAGI_TOT_3,FAGI_MED_3,FAGI_TOT_4,FAGI_MED_4,FAGI_TOT_5,FAGI_MED_5
60,004702,11001004702,1802,1742,703,853,0,158,1,27,35,14,21,1,95,659,844,0,158,1,5,24,8,16,1,1647,693,724,0,157,1,21,31,11,17,1,84,649,716,0,157,1,4,22,8,14,1,988,922,66,80.186298399999998,0.125291090000000,2950.758094941023501,324502.438578913628589,68048639.000000000000000,59074.000000000000000,106167879.000000000000000,69010.000000000000000,92778875,68605.000000000000000,108357349.000000000000000,67405.500000000000000,104919301.000000000000000,61331.000000000000000,138666390.000000000000000,69195.000000000000000
61,004801,11001004801,2143,2045,847,961,9,123,5,100,50,24,50,2,191,776,952,6,123,0,10,48,19,48,2,1934,816,829,9,113,3,80,43,22,41,2,166,752,820,6,113,0,5,41,17,39,2,1208,1078,130,78.446069330000000,0.122571980000000,2458.972701411055368,317459.981364852108527,63801222.000000000000000,47244.000000000000000,99227482.000000000000000,52484.000000000000000,76691024,48478.000000000000000,90035901.000000000000000,53570.000000000000000,109555605.000000000000000,60609.000000000000000,122287899.000000000000000,63711.000000000000000
62,004802,11001004802,2922,2845,866,1464,16,369,1,129,48,31,20,1,223,793,1457,9,368,0,6,45,30,18,1,2492,830,1176,13,303,1,106,36,26,19,0,186,767,1171,9,302,0,4,33,24,17,0,1561,1382,179,71.190591800000007,0.111235300000000,2192.317601256763282,288098.105370579345617,73241336.700000002980232,33975.500000000000000,115913258.000000000000000,41981.000000000000000,87920491,37146.500000000000000,108590991.379999995231628,40512.000000000000000,102577469.000000000000000,40676.000000000000000,119531192.000000000000000,45675.000000000000000
63,004901,11001004901,2087,2036,793,1075,14,94,1,59,30,13,21,0,178,686,1060,12,94,1,16,24,11,21,0,1696,730,794,14,80,1,38,23,12,16,0,128,652,786,12,80,1,5,19,11,16,0,1094,971,123,67.177931430000001,0.104965520000000,2112.988510213665904,271859.444849673891440,52574029.000000000000000,35398.000000000000000,77147230.000000000000000,44409.000000000000000,57630673,39410.000000000000000,66056089.000000000000000,43123.000000000000000,107168062.000000000000000,52044.000000000000000,136442151.000000000000000,59090.000000000000000
64,004902,11001004902,2690,2615,1330,812,11,166,6,290,21,9,26,6,468,1193,805,4,166,1,11,16,8,22,6,2354,1281,615,8,162,4,220,18,9,23,5,375,1162,610,3,162,1,5,14,8,20,5,1530,1417,113,65.200959819999994,0.101876500000000,2052.282435968203572,263858.924567304842640,98407326.000000000000000,44608.500000000000000,123680131.000000000000000,52213.500000000000000,116868349,50705.000000000000000,126553450.000000000000000,51963.000000000000000,123848559.000000000000000,53770.000000000000000,141451695.000000000000000,59191.500000000000000
65,005001,11001005001,1955,1893,1259,484,3,92,0,55,25,8,30,2,169,1161,474,1,92,0,9,23,8,25,0,1802,1195,429,3,87,0,42,22,8,21,0,140,1108,419,1,87,0,8,20,8,18,0,1003,952,51,50.590061220000003,0.079046970000000,2114.927043177201540,204730.715388826181879,94309397.000000000000000,67622.000000000000000,124100006.000000000000000,74090.000000000000000,114164264,69871.000000000000000,126820603.000000000000000,72566.500000000000000,122794751.000000000000000,70213.000000000000000,147289866.000000000000000,78133.000000000000000
66,005002,11001005002,6021,5799,3225,1152,33,328,5,1056,75,39,79,4,1676,2737,1120,15,326,4,15,50,27,73,4,5480,3128,1037,27,305,5,790,61,37,63,3,1340,2693,1008,15,303,4,8,42,27,58,3,3853,3475,378,57.695946759999998,0.090149920000000,2245.140851069027576,233487.214065981708700,192352559.000000000000000,39733.000000000000000,266261760.000000000000000,53208.000000000000000,250076730,48270.500000000000000,278673551.000000000000000,51141.000000000000000,219968978.000000000000000,53829.000000000000000,259592000.000000000000000,59810.500000000000000
67,005201,11001005201,6077,5878,4398,775,20,442,19,224,65,47,99,8,612,4079,757,9,438,3,18,58,32,91,8,5811,4305,672,20,429,15,197,56,45,82,7,562,3999,656,9,425,3,16,49,32,78,7,4548,4200,348,83.935881519999995,0.131149820000000,2661.842057402187493,339676.463215863681398,268298733.000000000000000,66130.000000000000000,401961716.000000000000000,75149.000000000000000,360312493,70538.000000000000000,397149782.000000000000000,73528.000000000000000,376053670.000000000000000,76106.500000000000000,442277202.000000000000000,81647.500000000000000
68,005301,11001005301,5051,4902,4121,179,17,455,4,126,37,24,96,4,432,3847,171,7,451,2,16,29,19,92,4,4920,4039,169,16,442,4,116,34,22,84,4,413,3770,163,7,438,2,16,27,17,80,4,3890,3608,282,70.763342260000002,0.110567720000000,2322.239748471002258,286369.087779838708229,226732166.000000000000000,64826.000000000000000,288225330.000000000000000,72068.000000000000000,295640286,68569.000000000000000,343695487.000000000000000,71067.000000000000000,263936773.000000000000000,70086.500000000000000,326386690.000000000000000,76569.500000000000000
69,005500,11001005500,6671,6454,5135,628,18,590,1,82,63,37,121,10,493,4752,613,13,586,1,24,58,30,117,10,6476,5000,611,17,574,1,76,57,36,108,10,474,4628,597,13,570,1,18,53,30,106,10,4983,4185,798,157.525518199999993,0.246133620000000,3987.966397502566451,637483.158809735439718,333923999.000000000000000,73032.000000000000000,409244354.000000000000000,78901.500000000000000,425105796,75480.000000000000000,505477215.000000000000000,77201.500000000000000,444403949.000000000000000,80908.000000000000000,536412412.000000000000000,81726.000000000000000
70,005600,11001005600,6756,6523,5107,517,13,797,0,89,105,47,130,7,428,4810,495,11,794,0,17,96,42,119,7,6629,5031,506,13,785,0,85,98,47,110,7,414,4742,484,11,782,0,17,89,42,100,7,4059,3347,712,117.382240280000005,0.183409750000000,4364.539698623044387,475029.075783794571180,167255800.000000000000000,63663.000000000000000,192250360.000000000000000,61943.500000000000000,208921431,59263.000000000000000,248986836.819999992847443,64756.000000000000000,203331811.000000000000000,67936.000000000000000,233194623.000000000000000,67328.000000000000000
71,005800,11001005800,2830,2737,1806,265,7,602,4,53,29,17,46,6,180,1698,262,7,600,4,1,21,16,46,6,2710,1759,254,7,563,4,42,24,17,39,6,161,1656,251,7,561,4,1,19,16,39,6,2306,1810,496,225.041998629999995,0.351628130000000,4111.144015786878299,910712.662854340625927,119511652.000000000000000,83192.000000000000000,175823623.000000000000000,89328.000000000000000,167620188,88884.500000000000000,151839744.000000000000000,87076.000000000000000,159463208.000000000000000,88725.000000000000000,171281204.000000000000000,100633.500000000000000
72,005900,11001005900,2998,2922,1712,826,9,280,1,94,37,15,29,2,223,1617,806,9,278,1,7,25,13,25,1,2885,1695,752,7,278,1,83,31,14,27,2,207,1603,732,7,276,1,7,21,12,23,1,1868,1523,345,159.092894840000014,0.248582650000000,3377.371982758274044,643826.107083639944904,55624517.130000002682209,46136.000000000000000,89285287.000000000000000,47249.000000000000000,91864708,49222.000000000000000,90357257.000000000000000,49116.000000000000000,56008018.000000000000000,51855.000000000000000,73843853.000000000000000,52042.000000000000000
73,006202,11001006202,33,33,7,25,0,1,0,0,0,0,0,0,0,7,25,0,1,0,0,0,0,0,0,29,7,21,0,1,0,0,0,0,0,0,0,7,21,0,1,0,0,0,0,0,0,8,8,0,2821.333501099999921,4.408333630000000,27060.070989614090649,11417531.666433261707425,128235.000000000000000,102705.000000000000000,554878.000000000000000,52548.000000000000000,,,,,,,,
74,006400,11001006400,2139,2095,142,1860,24,38,0,31,37,22,7,3,65,133,1839,24,38,0,3,32,17,7,3,1565,136,1330,13,26,0,22,31,18,7,3,49,127,1318,13,26,0,1,26,13,7,3,1055,977,78,226.475149230000000,0.353867420000000,4676.886796696137935,916512.417609171126969,22543116.000000000000000,21222.000000000000000,36959590.000000000000000,25016.000000000000000,25389209,21449.000000000000000,28899876.260000001639128,20823.000000000000000,39572111.000000000000000,26737.000000000000000,50187446.000000000000000,28943.500000000000000
75,006600,11001006600,1909,1876,1718,58,11,70,1,18,15,8,14,1,78,1659,56,10,70,1,4,14,8,13,1,1680,1525,50,10,58,1,15,10,7,9,0,60,1482,48,10,58,1,2,9,7,8,0,1143,1016,127,73.195285889999994,0.114367640000000,2663.238244100568863,296210.814550949726254,106170076.000000000000000,88338.000000000000000,117490965.000000000000000,80400.000000000000000,123630521,81172.000000000000000,136743813.000000000000000,87030.000000000000000,133316015.000000000000000,92949.000000000000000,138452048.000000000000000,90957.000000000000000
76,006700,11001006700,3775,3679,3077,452,11,114,2,23,33,23,48,4,147,2965,447,10,113,2,10,28,17,45,4,3283,2703,389,9,98,2,20,23,22,25,3,121,2609,386,9,97,2,8,18,17,24,3,2008,1866,142,105.827440280000005,0.165355380000000,3020.444036603321820,428268.458887596963905,217100355.000000000000000,85648.000000000000000,233122093.000000000000000,83000.000000000000000,249708355,86231.000000000000000,255796748.000000000000000,88571.000000000000000,284608649.000000000000000,99852.500000000000000,302416019.000000000000000,101467.500000000000000
77,006801,11001006801,1949,1893,647,1192,3,31,0,20,30,12,25,1,74,607,1183,2,31,0,3,24,11,25,1,1687,574,1016,3,30,0,18,25,11,19,1,61,539,1011,2,30,0,3,21,10,18,1,977,880,97,60.434956360000001,0.094429620000000,2060.756246961154829,244571.592741545377066,52747534.000000000000000,48014.000000000000000,76178458.000000000000000,51207.500000000000000,59126678,48635.500000000000000,64998901.000000000000000,48317.000000000000000,79312724.000000000000000,58579.000000000000000,90648226.000000000000000,61861.000000000000000
78,006802,11001006802,2084,2029,937,1022,6,38,0,26,37,14,24,0,94,894,1009,5,36,0,8,22,8,21,0,1754,804,856,6,31,0,18,26,11,16,0,71,766,850,5,31,0,3,17,8,14,0,1004,921,83,69.835546260000001,0.109118040000000,2545.709310496874878,282614.430575732898433,73798559.000000000000000,58385.000000000000000,96128685.000000000000000,63716.000000000000000,84563148,61279.500000000000000,90361240.000000000000000,60771.500000000000000,106607317.000000000000000,69016.500000000000000,117623354.000000000000000,70190.000000000000000
79,006804,11001006804,3670,3567,187,3225,29,21,1,104,75,41,25,11,315,91,3138,24,21,0,8,64,33,19,5,3396,186,2965,25,20,1,101,70,36,21,11,296,91,2894,20,20,0,7,59,28,15,5,13,12,1,499.917083830000024,0.781120450000000,6734.287254934542943,2023092.673372745048255,1427126.000000000000000,31692.000000000000000,1403283.000000000000000,15698.000000000000000,1213118,15245.000000000000000,1517968.000000000000000,16825.500000000000000,1893345.000000000000000,26956.000000000000000,1977861.000000000000000,21076.000000000000000
80,006900,11001006900,2179,2121,1404,636,7,61,2,11,11,13,35,2,87,1340,630,6,61,2,6,9,6,32,2,1888,1234,548,6,52,2,7,9,10,23,1,68,1180,545,5,52,2,2,7,6,22,1,1190,1114,76,101.377485300000004,0.158402320000000,2860.132280070827619,410260.129910805437248,96831762.000000000000000,74417.000000000000000,117789037.000000000000000,79464.500000000000000,111579539,75970.000000000000000,124386107.000000000000000,78466.000000000000000,124366685.000000000000000,83717.000000000000000,136440279.000000000000000,86964.500000000000000
81,007000,11001007000,2812,2748,2209,433,8,65,4,29,23,11,31,3,162,2093,423,7,64,4,9,20,9,27,2,2596,2074,378,8,61,4,24,18,11,19,3,144,1968,371,7,60,4,5,16,9,18,2,1268,1195,73,103.877049499999998,0.162307890000000,2909.008063750894507,420375.507392907864414,105497762.000000000000000,75046.500000000000000,113568529.000000000000000,74503.000000000000000,116461048,73158.500000000000000,119493354.000000000000000,77934.000000000000000,126183172.000000000000000,81669.000000000000000,147508156.000000000000000,83749.000000000000000
82,007100,11001007100,2911,2807,977,1703,15,72,0,40,44,31,39,2,158,898,1691,15,71,0,7,36,21,32,2,2289,895,1209,12,70,0,31,32,26,24,2,119,830,1201,12,69,0,6,29,17,20,2,1461,1342,119,180.708232470000013,0.282356620000000,3852.778052123699126,731300.275476048584096,73551776.000000000000000,42529.000000000000000,90074658.000000000000000,44333.000000000000000,88319005,43479.000000000000000,89640055.000000000000000,41845.000000000000000,90963474.000000000000000,44853.000000000000000,100613150.000000000000000,49413.500000000000000
83,000600,11001000600,4539,4395,3878,225,10,207,2,73,51,23,65,9,332,3647,217,6,204,2,13,41,24,61,4,3812,3273,207,9,177,2,59,23,19,37,8,272,3087,199,6,176,2,4,18,18,36,3,2234,2108,126,356.513067820000003,0.557051670000000,5202.370432430715482,1442757.206757715204731,882856096.000000000000000,87171.000000000000000,413850238.000000000000000,81528.500000000000000,838428665,84947.000000000000000,887637225.000000000000000,91538.000000000000000,883701442.000000000000000,98902.500000000000000,1101811669.000000000000000,103485.000000000000000
84,000701,11001000701,4620,4502,3848,235,18,288,4,109,37,13,60,13,407,3583,215,8,285,4,27,30,10,55,9,4255,3586,212,15,266,3,84,27,12,46,7,354,3342,198,7,263,3,17,20,9,42,7,3275,2974,301,135.861574270000006,0.212283710000000,3198.465389602683899,549812.287648553727195,268583555.000000000000000,68493.000000000000000,265927884.000000000000000,68775.000000000000000,291704733,68526.500000000000000,312019324.000000000000000,70192.500000000000000,302248205.000000000000000,72115.000000000000000,322343565.000000000000000,73385.000000000000000
