OBJECTID,TRACT,GEOID,Total,White,Black,Native,Asian,Hispanic,ACRES,SQ_MILES,Shape_Leng,Shape_Area
127,tract7703,11001007703,5187,53,4924,10,5,186,249.8804855,0.39043826,4509.848281,1011230.454
128,tract7707,11001007707,3867,42,3740,12,1,64,208.256449,0.3254007,4424.682144,842783.953
129,tract7708,11001007708,2486,11,2416,2,1,35,211.6010709,0.33062668,4293.393914,856319.1578
130,tract7709,11001007709,2007,38,1896,8,3,47,228.4714258,0.35698661,4638.997012,924591.0624
131,tract7803,11001007803,3293,36,3126,15,8,103,247.7583517,0.38712243,4553.269283,1002642.483
132,tract7804,11001007804,3446,24,3289,4,4,69,209.5098253,0.3273591,4574.80291,847856.1872
133,tract7806,11001007806,2347,35,2247,13,3,75,170.2268109,0.26597939,4130.207134,688883.4671
134,tract2702,11001002702,5226,3439,699,48,205,1303,124.9245239,0.19519457,3697.627805,505551.615
135,tract2801,11001002801,3773,1241,1359,23,155,1382,42.47578244,0.06636841,1725.322841,171893.394
136,tract9603,11001009603,3373,25,3236,10,7,62,157.9618479,0.24681539,3866.067516,639248.9224
137,tract9604,11001009604,1962,31,1865,4,1,55,135.5452565,0.21178946,3139.245874,548532.1949
138,tract9700,11001009700,3177,20,3098,6,4,32,101.3149124,0.15830455,3393.279077,410006.9065
139,tract9801,11001009801,1575,16,1526,3,5,26,110.8391105,0.17318611,3275.822031,448549.9687
140,tract9802,11001009802,1693,11,1665,1,0,27,49.60026818,0.07750042,2124.243896,200725.165
141,tract7807,11001007807,2139,18,2053,2,5,49,129.4221394,0.20222209,3369.640893,523752.8192
142,tract7808,11001007808,3646,34,3489,10,9,77,234.8368053,0.36693251,4159.121607,950350.8393
143,tract8701,11001008701,2407,384,1888,4,38,114,95.00421447,0.14844409,2699.849929,384468.4178
144,tract8702,11001008702,1599,221,1280,6,16,103,117.2238161,0.18316221,3710.812891,474387.9558
145,tract8802,11001008802,4119,308,3607,29,35,172,116.5697591,0.18214025,2848.579921,471741.0813
146,tract8803,11001008803,2037,694,1143,9,54,167,284.5769847,0.44465154,5287.299629,1151642.205
147,tract9803,11001009803,2758,23,2684,5,3,30,131.2132499,0.2050207,3195.473389,531001.1863
148,tract9804,11001009804,2473,42,2369,5,4,56,128.0743509,0.20011617,3761.594319,518298.5125
149,tract9807,11001009807,3072,56,2937,4,13,58,256.6267697,0.40097933,5057.760632,1038531.697
150,tract9810,11001009810,2507,15,2456,3,1,22,101.9167671,0.15924495,2811.707456,412442.5261
151,tract10500,11001010500,3410,1101,1888,15,231,212,185.9731461,0.29058304,3700.255222,752606.625
152,tract10600,11001010600,3933,1624,1992,15,126,177,305.5641749,0.47744403,5269.162516,1236574.351
153,tract10700,11001010700,1838,1442,89,6,209,137,220.2939869,0.34420936,3825.465074,891498.1408
154,tract10800,11001010800,6408,5146,279,2,708,268,163.4646381,0.2554135,3482.465158,661517.9245
155,tract10900,11001010900,3211,58,3055,6,15,47,1313.082864,2.05169199,11812.015,5313857.851
156,tract11000,11001011000,3715,1632,1712,29,140,183,254.1223879,0.39706623,5794.137106,1028396.824
157,tract11100,11001011100,4859,322,4192,24,15,337,1497.651271,2.34008013,13673.10714,6060779.699
158,tract9301,11001009301,3143,979,1915,14,71,221,272.1330731,0.42520793,4589.378118,1101283.481
159,tract7809,11001007809,2922,58,2768,9,4,86,132.2389548,0.20662337,3874.359987,535152.0669
160,tract7901,11001007901,3822,397,3252,16,24,115,98.41517823,0.15377372,2551.393623,398272.0984
161,tract7903,11001007903,1774,156,1536,6,10,95,59.94389871,0.09366234,2170.9454,242584.3529
162,tract8001,11001008001,2784,1321,1247,10,65,138,80.43091395,0.1256733,2400.602905,325492.3626
163,tract8002,11001008002,3031,1662,1158,6,74,114,142.8506356,0.22320412,3883.368027,578096.0156
164,tract8100,11001008100,2910,2276,422,11,75,133,72.21812179,0.11284082,2331.345985,292256.3717
165,tract8200,11001008200,2918,2515,156,12,116,134,84.04524066,0.13132069,3038.867812,340119.024
166,tract8301,11001008301,2279,1743,383,5,67,80,75.10652056,0.11735394,2368.737543,303945.3069
167,tract8302,11001008302,2206,1553,490,12,66,94,64.46191668,0.10072175,2372.700178,260868.1231
168,tract8402,11001008402,2149,1156,846,7,51,99,66.30755803,0.10360556,2657.40565,268337.1687
169,tract8410,11001008410,1489,451,958,4,24,71,54.39444927,0.08499133,2326.095337,220126.5277
170,tract9400,11001009400,4163,370,3467,23,42,266,393.0247235,0.61410113,5500.077285,1590514.636
171,tract9501,11001009501,5797,2128,2827,36,108,831,393.9402587,0.61553166,6251.167008,1594219.675
172,tract9503,11001009503,2910,432,2301,4,41,113,351.7480802,0.54960638,5448.746349,1423473.986
173,tract9504,11001009504,3025,643,2204,10,40,120,253.5906496,0.39623539,4227.41219,1026244.955
174,tract9505,11001009505,2630,145,2274,3,25,201,254.6686583,0.39791978,4571.653132,1030607.502
175,tract9507,11001009507,1489,53,1304,11,1,156,72.81292728,0.1137702,2483.115055,294663.4642
176,tract9508,11001009508,3290,257,2821,11,30,235,231.9179867,0.36237186,5772.875428,938538.7995
177,tract9509,11001009509,2940,165,2592,5,33,169,159.553962,0.24930307,3306.197043,645691.9795
178,tract9601,11001009601,2445,27,2359,3,5,36,514.8501708,0.8044534,6716.549762,2083524.733
179,tract9602,11001009602,3280,24,3166,9,3,40,341.0055984,0.53282125,4742.071398,1380000.704
