STREETSEGID,BIKEINCIDENTS,PEDINCIDENTS,PEDFATALITIES,LVL1,LVL2,LVL3,RISK_SUM,RISK_INDEX,
648,0,2,0,0,0,0,0,1,
649,0,1,0,0,0,0,0,1,
650,1,0,0,0,1,0,3,1,
651,1,3,0,0,1,0,3,1,
657,2,0,0,1,1,0,4,1,
665,0,1,0,0,0,0,0,1,
667,0,1,0,0,0,0,0,1,
678,1,2,0,0,1,0,3,1,
680,2,0,0,0,2,0,6,2,
687,0,1,0,0,0,0,0,1,
693,0,1,0,0,0,0,0,1,
694,0,2,0,0,0,0,0,1,
697,3,2,0,1,2,0,7,2,
700,1,0,0,0,1,0,3,1,
706,0,1,0,0,0,0,0,1,
713,1,0,0,0,1,0,3,1,
727,1,2,0,0,1,0,3,1,
730,0,1,0,0,0,0,0,1,
732,6,2,0,3,3,0,12,3,
733,1,1,0,0,1,0,3,1,
734,4,9,0,1,3,0,10,2,
738,1,0,0,0,1,0,3,1,
745,3,0,0,1,2,0,7,2,
746,1,2,0,0,1,0,3,1,
755,0,1,0,0,0,0,0,1,
756,0,1,0,0,0,0,0,1,
759,1,0,0,1,0,0,1,1,
763,13,5,0,3,10,0,33,3,
764,1,1,0,1,0,0,1,1,
765,0,1,0,0,0,0,0,1,
769,0,2,0,0,0,0,0,1,
770,0,1,0,0,0,0,0,1,
772,3,1,0,0,3,0,9,2,
775,0,1,0,0,0,0,0,1,
777,0,4,0,0,0,0,0,1,
789,0,2,0,0,0,0,0,1,
791,3,3,0,2,1,0,5,1,
794,0,1,0,0,0,0,0,1,
795,1,0,0,0,1,0,3,1,
796,0,1,0,0,0,0,0,1,
797,3,2,0,0,2,1,9,2,
799,1,0,0,0,1,0,3,1,
800,8,5,0,0,7,1,24,3,
801,1,0,0,1,0,0,1,1,
803,1,0,0,0,1,0,3,1,
811,2,2,0,0,1,1,6,2,
814,1,0,0,1,0,0,1,1,
815,2,0,0,0,2,0,6,2,
816,0,1,0,0,0,0,0,1,
819,0,1,0,0,0,0,0,1,
824,1,4,0,0,1,0,3,1,
829,0,4,0,0,0,0,0,1,
830,0,1,0,0,0,0,0,1,
833,0,1,0,0,0,0,0,1,
837,1,1,0,0,1,0,3,1,
841,0,1,0,0,0,0,0,1,
842,1,0,0,0,1,0,3,1,
844,1,0,0,0,1,0,3,1,
847,1,0,0,0,0,1,3,1,
849,0,1,0,0,0,0,0,1,
855,0,1,0,0,0,0,0,1,
859,1,0,0,1,0,0,1,1,
860,1,0,0,1,0,0,1,1,
863,0,1,0,0,0,0,0,1,
866,1,0,0,1,0,0,1,1,
869,1,0,0,0,1,0,3,1,
873,1,2,0,0,1,0,3,1,
874,0,1,0,0,0,0,0,1,
880,2,2,0,0,2,0,6,2,
888,1,1,0,0,1,0,3,1,
903,0,1,0,0,0,0,0,1,
907,0,2,0,0,0,0,0,1,
909,1,1,0,0,1,0,3,1,
913,3,0,0,2,1,0,5,1,
914,0,1,1,0,0,0,0,1,
924,0,4,0,0,0,0,0,1,
925,1,0,0,0,1,0,3,1,
934,1,3,0,0,0,1,3,1,
936,0,1,0,0,0,0,0,1,
937,0,1,0,0,0,0,0,1,
939,1,0,0,1,0,0,1,1,
943,0,2,0,0,0,0,0,1,
951,0,3,0,0,0,0,0,1,
955,0,1,0,0,0,0,0,1,
956,1,0,0,0,1,0,3,1,
959,0,2,0,0,0,0,0,1,
961,2,0,0,1,1,0,4,1,
967,2,0,0,2,0,0,2,1,
974,0,2,0,0,0,0,0,1,
983,0,1,0,0,0,0,0,1,
988,0,1,0,0,0,0,0,1,
998,0,1,0,0,0,0,0,1,
1002,2,0,0,0,1,1,6,2,
1006,1,1,0,0,1,0,3,1,
1007,2,1,0,1,1,0,4,1,
1030,0,1,0,0,0,0,0,1,
1033,0,1,0,0,0,0,0,1,
1035,0,1,0,0,0,0,0,1,
1037,2,4,0,0,2,0,6,2,
1045,1,0,0,0,1,0,3,1,
1048,0,1,0,0,0,0,0,1,
1053,0,1,0,0,0,0,0,1,
1057,0,5,0,0,0,0,0,1,
1063,1,0,0,0,1,0,3,1,
1066,0,1,0,0,0,0,0,1,
1067,4,1,0,2,2,0,8,2,
1068,1,0,0,1,0,0,1,1,
1075,2,3,0,0,1,1,6,2,
1082,0,1,0,0,0,0,0,1,
1087,4,1,0,0,4,0,12,3,
1091,0,2,1,0,0,0,0,1,
1093,0,3,0,0,0,0,0,1,
1095,1,0,0,0,1,0,3,1,
1096,0,2,0,0,0,0,0,1,
1100,2,1,0,1,1,0,4,1,
1103,2,5,0,1,1,0,4,1,
1115,1,1,0,0,1,0,3,1,
1121,1,0,0,0,1,0,3,1,
1125,2,0,0,0,2,0,6,2,
1128,2,0,0,0,2,0,6,2,
1129,0,1,0,0,0,0,0,1,
1132,1,0,0,0,1,0,3,1,
1135,0,1,0,0,0,0,0,1,
1137,0,1,0,0,0,0,0,1,
1140,0,3,0,0,0,0,0,1,
1143,0,1,0,0,0,0,0,1,
1145,0,1,0,0,0,0,0,1,
1147,0,1,0,0,0,0,0,1,
1152,1,2,0,0,1,0,3,1,
1154,0,1,0,0,0,0,0,1,
1157,1,0,0,0,1,0,3,1,
1169,0,1,0,0,0,0,0,1,
1176,1,2,0,1,0,0,1,1,
1178,1,5,1,0,1,0,3,1,
1180,1,0,0,0,1,0,3,1,
1181,1,0,0,0,1,0,3,1,
1192,0,1,0,0,0,0,0,1,
1194,1,0,0,0,1,0,3,1,
1195,2,1,0,1,1,0,4,1,
1197,0,3,0,0,0,0,0,1,
1202,1,0,0,0,1,0,3,1,
1211,1,0,0,0,1,0,3,1,
1214,1,1,0,1,0,0,1,1,
1215,0,4,0,0,0,0,0,1,
1216,0,1,0,0,0,0,0,1,
1217,0,1,0,0,0,0,0,1,
1223,0,2,0,0,0,0,0,1,
1231,0,1,0,0,0,0,0,1,
1232,0,2,0,0,0,0,0,1,
1235,1,2,0,0,1,0,3,1,
1239,1,0,0,1,0,0,1,1,
1255,1,1,0,0,0,1,3,1,
1259,1,2,0,0,1,0,3,1,
1260,2,0,0,0,2,0,6,2,
1264,0,1,0,0,0,0,0,1,
1266,0,3,0,0,0,0,0,1,
1268,2,1,0,0,2,0,6,2,
1270,0,1,0,0,0,0,0,1,
1273,1,1,0,0,1,0,3,1,
1274,0,1,0,0,0,0,0,1,
1277,0,1,0,0,0,0,0,1,
1280,0,1,0,0,0,0,0,1,
1288,0,2,0,0,0,0,0,1,
1289,0,1,0,0,0,0,0,1,
1292,0,2,0,0,0,0,0,1,
1293,1,0,0,0,1,0,3,1,
1294,2,1,0,0,1,1,6,2,
1300,0,1,0,0,0,0,0,1,
1307,0,1,0,0,0,0,0,1,
1319,0,3,0,0,0,0,0,1,
1325,1,0,0,0,1,0,3,1,
1330,1,1,0,1,0,0,1,1,
1333,1,0,0,0,1,0,3,1,
1340,2,0,0,0,2,0,6,2,
